location,followers,comments,coordinates,language,geometry,sentiment
People's Republic of China,11,winter mask ear warmer winter gift usa,POINT (109.97505 -7.71778),en,"[[[109.937379, -7.787904], [109.937379, -7.697346], [110.023183, -7.697346], [110.023183, -7.787904]]]",1
Barcelona,1069,just posted photo spain,POINT (2.1683 41.3894),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Bozeman, Montana",20057,with restrictions officials worry skiers heading backcountry,POINT (-111.07427917 45.67070719),en,"[[[-111.185677, 45.625349], [-111.185677, 45.750351], [-110.980181, 45.750351], [-110.980181, 45.625349]]]",2
Catalunya,1642,diumenge pesant figues i encara hem dinat in sant,POINT (2.07142226 41.45769145),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
"Rochdale, England",1036,this far funds could stretch year merry covid the ring light doubling,POINT (-2.157 53.6106),en,"[[[-2.228709, 53.560058], [-2.228709, 53.658702], [-2.077293, 53.658702], [-2.077293, 53.560058]]]",2
Catalunya,1642,fa aniversaris números i aquest any només ajornem aviso in sant,POINT (2.07142226 41.45769145),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
barcelona ,198,este domingo desde las pierdas llega temprano solo,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,321,per damunt tots i sempre barça per molts camp nou,POINT (2.12235415 41.3809291),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
España,32,ambiente navideño sant cugat vallès,POINT (2.0852 41.4706),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
"London, NW1 1UN",1498,wondering today feeling nostalgic pre covid days working office,POINT (-0.1264005 51.53603086),en,"[[[-0.213503, 51.512805], [-0.213503, 51.572068], [-0.105303, 51.572068], [-0.105303, 51.512805]]]",2
"Seattle, WA",726,anys museo de camp nou,POINT (2.15155686 41.3840816),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
Catalunya,1642,si poses cara senyor seriós tothom més agafes és,POINT (2.07142226 41.45769145),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
Estoy Barcelona. Soy de Madrid,92,acaba publicar foto en mi casa,POINT (2.18304021 41.43277222),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
London,15735,covid deliveroo drivers waiting hatch chippie sutton sons essex road,POINT (-0.08938778999999999 51.54432184),en,"[[[-0.142058, 51.518552], [-0.142058, 51.575301], [-0.076305, 51.575301], [-0.076305, 51.518552]]]",2
,245,acaba publicar foto horta,POINT (2.16194444 41.42944444),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Pittsburgh, PA",195,her sister big covid this little girl grateful,POINT (-80.18444443999999 40.53638889),en,"[[[-80.193281, 40.531506], [-80.193281, 40.550762], [-80.154662, 40.550762], [-80.154662, 40.531506]]]",2
"Barcelona, Spain",76,just posted photo spain,POINT (2.1683 41.3894),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
,549,annual trips surigao every christmas break i hate u throwback post,POINT (125.58333333 9.699999999999999),en,"[[[125.522722, 9.642256], [125.522722, 9.815231], [125.740725, 9.815231], [125.740725, 9.642256]]]",2
"Foz do Iguaçu, Brasil",1235,all i ever wanted was cura da em foz do iguaçu,POINT (-54.5581 -25.5183),es,"[[[-54.619501, -25.695489], [-54.619501, -25.212313], [-54.294691, -25.212313], [-54.294691, -25.695489]]]",0
Catalunya  ,2938,at trencalòs in españa,POINT (2.13632 41.380424),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Catalunya,1642,a dinaaaaaar in sant,POINT (2.07142226 41.45769145),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",1
"Viladecans, Espanya",330,enguany amb mascareta i sense fer junts sempre,POINT (2.02181 41.31674),ca,"[[[1.988241, 41.270326], [1.988241, 41.337687], [2.07465, 41.337687], [2.07465, 41.270326]]]",0
"Kansas City, MO",793,quick selfie face mask,POINT (-94.5809 39.1022),en,"[[[-94.733122, 38.868002], [-94.733122, 39.332095], [-94.385441, 39.332095], [-94.385441, 38.868002]]]",2
"Corrientes, Argentina",239,parte oficial situación,POINT (-58.8445 -27.4748),es,"[[[-58.855973, -27.537017], [-58.855973, -27.437049], [-58.736291, -27.437049], [-58.736291, -27.537017]]]",2
cleveland ohio,1136,browns sunday scalpers dine takeout delivery available ubereats doordash grubhub gift cards,POINT (-81.47352914 41.51985212),en,"[[[-81.474912, 41.500849], [-81.474912, 41.533113], [-81.43201, 41.533113], [-81.43201, 41.500849]]]",2
Ireland | Scotland | Inuit | Skandinavien,1478,fighting expert says irish people need test subjects prove spread a,POINT (-73.56725453 45.75975883),en,"[[[-73.700164, 45.716103], [-73.700164, 45.821364], [-73.526116, 45.821364], [-73.526116, 45.716103]]]",2
Ireland | Scotland | Inuit | Skandinavien,1478,fighting irish troops serving kosovo test positive kfor,POINT (-73.56725453 45.75975883),en,"[[[-73.700164, 45.716103], [-73.700164, 45.821364], [-73.526116, 45.821364], [-73.526116, 45.716103]]]",2
"Viladecans, Espanya",330,enguany amb mascareta i sense poder junts sempre,POINT (2.02181 41.31674),ca,"[[[1.988241, 41.270326], [1.988241, 41.337687], [2.07465, 41.337687], [2.07465, 41.270326]]]",0
"London, United Kingdom",137984,must analyse crowd limits attend church,POINT (-0.12485951 51.50538967),en,"[[[-0.187894, 51.483718], [-0.187894, 51.516466], [-0.109978, 51.516466], [-0.109978, 51.483718]]]",2
Sant Cugat del Valles,282,acaba publicar foto parc serralada marina,POINT (2.22207801 41.44128726),es,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
"Devon, UK",3506,devon school confirms positive coronavirus case,POINT (-4.14238416 50.37973537),en,"[[[-4.203701, 50.360251], [-4.203701, 50.444179], [-4.082159, 50.444179], [-4.082159, 50.360251]]]",2
"Foz do Iguaçu, Brasil",1235,all i ever wanted was cura da em foz do iguaçu,POINT (-54.5581 -25.5183),es,"[[[-54.619501, -25.695489], [-54.619501, -25.212313], [-54.294691, -25.212313], [-54.294691, -25.695489]]]",0
,142,de tiempos subrayaba parque lineal manzanares,POINT (-3.67544167 40.35550556),es,"[[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]",1
"Manhattan, Ny 10036.",454,i william mccullough newyork city usa got my mask beautiful day king ace,POINT (-73.99112517 40.7588419),en,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",2
"Mississauga, L5K 1J7",1080,join us supporting women they tremendous pressure need ever given,POINT (-79.65000000000001 43.6),en,"[[[-79.810142, 43.373074], [-79.810142, 43.737414], [-79.422004, 43.737414], [-79.422004, 43.373074]]]",2
"Barcelona, Catalunya",2190,phenomena from russia love barcelona,POINT (2.1717253 41.409134),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"New York, NY",502,nearly half schools globally basic affecting million,POINT (-73.9675 40.7779),en,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",2
Barcelona,312,,POINT (2.17088353 41.39685865),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Little Rock,83,the holidays love see carter miller hillcrest,POINT (-92.33177000000001 34.76253),en,"[[[-92.521595, 34.62595], [-92.521595, 34.817822], [-92.163049, 34.817822], [-92.163049, 34.62595]]]",1
Sant Vicenç dels Horts ,282,camp nou,POINT (2.12235415 41.3809291),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Barcelona (Catalunya) ,799,és temporada sant gervasi galvany,POINT (2.1839538 41.39612084),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
BARCELONA,60,reportan respecto post anterior cierren,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Manila,158,long weekend family kiddos first time go protected plamedi aviche air tamer,POINT (120.93619541 14.10296276),en,"[[[120.885266, 14.077968], [120.885266, 14.152788], [121.039975, 14.152788], [121.039975, 14.077968]]]",2
Scotland,4363,rip dave man behind famous mask movie my time favourite movie,POINT (-4.259 55.858),en,"[[[-4.393285, 55.796184], [-4.393285, 55.920421], [-4.090218, 55.920421], [-4.090218, 55.796184]]]",2
"Buenos Aires, Argentina",3362,rinde homenaje sos enorme camp nou,POINT (2.15231 41.36636),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
BARCELONA,60,reports cierren,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Barcelona ,188,avui arrivat fins castell montjuic,POINT (2.16611111 41.36333333),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Ireland | Scotland | Inuit | Skandinavien,1478,fighting westmeath has had a drop in its incidence a public health expert says,POINT (-73.56725453 45.75975883),en,"[[[-73.700164, 45.716103], [-73.700164, 45.821364], [-73.526116, 45.821364], [-73.526116, 45.716103]]]",2
Ireland | Scotland | Inuit | Skandinavien,1478,fighting coronavirus vaccinations could begin early next the ireland thinks,POINT (-73.56725453 45.75975883),en,"[[[-73.700164, 45.716103], [-73.700164, 45.821364], [-73.526116, 45.821364], [-73.526116, 45.716103]]]",2
In middle of nowhere,67,just posted photo platja pont petroli,POINT (2.2463876 41.44091415),ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
"Fontana Dam, North Carolina",782,fontana perfect place social distance our large fireplace lobby makes great,POINT (-83.80948600000001 35.3276129),en,"[[[-84.321948, 33.752879], [-84.321948, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",1
"Cataluña, España",4603,escorts kisses do want know check girls offering,POINT (2.133314 41.384445),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Conyers, GA",162,come among believers jesus christ sundays am worship service we follow,POINT (-83.8626 33.5146),en,"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",2
Barcelona,1912,u b l e,POINT (2.1683 41.3894),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",
Entre acordes y latidos 🎶💓,1128,castell de barcelona,POINT (2.16979979 41.38547589),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
Africa,398,lockdown let no stinking covid,POINT (-4.27205354 50.62975726),en,"[[[-6.368504, 49.882472], [-6.368504, 52.112542], [-1.485734, 52.112542], [-1.485734, 49.882472]]]",2
"Suffolk, UK",5214,what coronavirus infection rates,POINT (1.15217943 52.05427797),en,"[[[1.106876, 52.023536], [1.106876, 52.090691], [1.21645, 52.090691], [1.21645, 52.023536]]]",2
"Westminster, UK",1776,how many coronavirus cases use tool find,POINT (-0.12450144 51.50013926),en,"[[[-0.187894, 51.483718], [-0.187894, 51.516466], [-0.109978, 51.516466], [-0.109978, 51.483718]]]",2
"Barcelona, Spain",6,anyone experiences ride 𝐈𝐍𝐅𝐎 𝐑𝐄𝐒𝐄𝐑𝐕𝐀𝐓𝐈𝐎𝐍,POINT (2.15901 41.37826),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
90047,283,sharp family bring friend worship please wear mask ez teez u now,POINT (-118.17883 33.8743),en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",1
Honduras,160,el diego camp nou,POINT (2.12235415 41.3809291),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,138,la cruz sant geroni de la murtra,POINT (2.24107 41.45939),ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
"Ondara, España",63,españa,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,138,antiguo sant geroni de la murtra,POINT (2.24107 41.45939),es,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
Spain,212,click senior statistical programmer ct,POINT (2.1609876 41.3847326),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
,138,sant geroni de la murtra,POINT (2.24107 41.45939),ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",0
"El Raval, Barcelona",1214,acaba publicar foto platja nova icària,POINT (2.20180556 41.39033333),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Entre Cuenca y Castelldefels,1951,acaba publicar foto camp nou,POINT (2.12235415 41.3809291),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Arrecifes ,2439,acaba publicar video spain,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
USA,78,help hurting covid send donation paypal,POINT (-75.24589777 39.95304325),en,"[[[-75.280284, 39.871811], [-75.280284, 40.13792], [-74.955712, 40.13792], [-74.955712, 39.871811]]]",2
"ÜT: 41.776915,-87.745101",1065,smiling mask today good day,POINT (-87.59223928 41.77951268),en,"[[[-87.940033, 41.644102], [-87.940033, 42.023067], [-87.523993, 42.023067], [-87.523993, 41.644102]]]",1
Barcelona (Catalunya) ,799,tortell nata i sares i xocolata pastisseria,POINT (2.15296 41.38113),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Fairfax, VA",204,do love cvs health join pharmacist covid vaccine support,POINT (-77.2872728 38.9960747),en,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",1
Barcelona,2149,acaba publicar foto spain,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Barcelona ,17761,en spain,POINT (2.1683 41.3894),en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
Barcelona,870,i mar barcelona,POINT (2.20244361 41.40005417),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Barquisimeto, Venezuela",290,simplemente amo señor deporte mas hermoso mundo camp nou,POINT (2.12235415 41.3809291),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
,29,never understand saying gets easier the emptiness left behind seems,POINT (-117.124 33.5033),en,"[[[-117.184394, 33.447541], [-117.184394, 33.554501], [-117.054639, 33.554501], [-117.054639, 33.447541]]]",2
BARCELONA,60,pásalo cierren,POINT (2.1162 41.3684),es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",1
"Timmins, Ontario",1702,province reports confirmed cases today,POINT (-81.32806152000001 48.47593351),en,"[[[-81.729849, 48.2768], [-81.729849, 48.712187], [-80.809929, 48.712187], [-80.809929, 48.2768]]]",2
Sant Cugat del Vallés,244,portarse,POINT (2.1683 41.3894),es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,138,los arcos ca ca,POINT (2.232254 41.459335),ca,"[[[2.211092, 41.42594], [2.211092, 41.492681], [2.270008, 41.492681], [2.270008, 41.42594]]]",2
"Torelló/Sant Cugat , Barcelona",2972,just posted photo sant cugat vallès,POINT (2.0852 41.4706),ca,"[[[1.999829, 41.415036], [1.999829, 41.519488], [2.129965, 41.519488], [2.129965, 41.415036]]]",0
